id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
uv4ern5cxij9inht1sdkk2rj,APPROVED,2021-01-16T16:21:28Z,2021-01-16T16:24:53Z,204.452,20,767,4,100,2021-01-17T01:29:13Z,684BBD13,United States,United States,Part-Time,White,English,United States,Female,Yes
qcjayucpiueb03i02bb32ryu,APPROVED,2021-01-16T16:21:29Z,2021-01-16T16:26:12Z,282.28,23,371,0,100,2021-01-17T01:29:18Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,No
rugpszckktpuyrrfrazd81x0,APPROVED,2021-01-16T16:21:35Z,2021-01-16T16:28:55Z,439.789,49,205,3,98,2021-01-16T17:01:08Z,NOCODE,United States,United States,Full-Time,White,DATA EXPIRED,United States,Female,No
g9nq4uj32gq6713owy8ty354,APPROVED,2021-01-16T16:21:30Z,2021-01-16T16:26:11Z,281.23,33,111,0,100,2021-01-17T01:29:19Z,684BBD13,United States,United States,Part-Time,White,DATA EXPIRED,United States,Female,No
lpzv3jglru1v6q2sp2aob8ed,APPROVED,2021-01-16T16:22:26Z,2021-01-16T16:48:22Z,1555.503,32,269,2,100,2021-01-17T01:29:23Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Female,No
3agx0c416fydclt81efvno4p,APPROVED,2021-01-16T16:21:36Z,2021-01-16T16:27:25Z,349.292,44,517,0,100,2021-01-17T01:29:23Z,684BBD13,Lebanon,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,Arabic,United States,Female,No
a29uyel6w24wznje89g5hgtx,APPROVED,2021-01-16T16:21:55Z,2021-01-16T16:29:39Z,464.556,67,949,0,100,2021-01-17T01:29:26Z,684BBD13,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
eyf3p3tdx7fbmqkj8upossi2,APPROVED,2021-01-16T16:21:40Z,2021-01-16T16:26:05Z,264.595,70,493,6,97,2021-01-17T01:29:27Z,684BBD13,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
37z6icz8t1ghk58olhkgjblk,APPROVED,2021-01-16T16:21:38Z,2021-01-16T16:24:04Z,145.753,38,692,1,100,2021-01-17T01:29:32Z,684BBD13,United States,United States,Part-Time,White,English,United States,Male,Yes
uknlobjegb0g5z4eiqv36hah,APPROVED,2021-01-16T16:21:45Z,2021-01-16T16:28:00Z,374.879,32,126,0,100,2021-01-17T01:29:32Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
g5q4oyoywtxoz1dxnt7oghuf,APPROVED,2021-01-16T16:21:45Z,2021-01-16T16:25:57Z,251.397,55,1208,3,100,2021-01-17T01:29:36Z,684BBD13,United States,United States,Full-Time,White,English,United States,Female,No
pe4uoi7wps3z2ybb8yttlh8q,APPROVED,2021-01-16T16:21:47Z,2021-01-16T16:26:11Z,264.651,30,516,0,100,2021-01-17T01:29:37Z,684BBD13,United States,United States,Part-Time,White,English,United States,Male,No
zloson171bggyg9vwawn5cgz,APPROVED,2021-01-16T16:21:50Z,2021-01-16T16:24:58Z,188.504,57,845,6,99,2021-01-17T01:29:42Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,No
24cwva31hsii4vg8nczirjcd,APPROVED,2021-01-16T16:23:26Z,2021-01-16T16:33:26Z,600.063,32,49,1,99,2021-01-17T01:29:43Z,684BBD13,United States,United States,DATA EXPIRED,White,DATA EXPIRED,United States,Male,No
3c8lt7edo2jz0x7l3lb0ch7a,APPROVED,2021-01-16T16:27:41Z,2021-01-16T16:31:12Z,210.553,19,411,1,100,2021-01-17T01:29:46Z,684BBD13,United States,United States,Unemployed (and job seeking),White,English,United States,Female,No
j3dhxyo8jk62zjc3qwvnm92a,APPROVED,2021-01-16T16:21:51Z,2021-01-16T16:26:24Z,273.118,33,1160,2,100,2021-01-17T01:29:47Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,No
vj01flcinpm1r80abizh405h,APPROVED,2021-01-16T16:23:22Z,2021-01-16T16:33:09Z,586.537,31,47,0,100,2021-01-17T01:29:50Z,684BBD13,United States,United States,DATA EXPIRED,White,DATA EXPIRED,United States,Male,No
yq0qpaoibl809rnojuozaq6t,APPROVED,2021-01-16T16:22:00Z,2021-01-16T16:27:05Z,304.823,28,110,1,99,2021-01-17T01:29:53Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
a3cft643s18b1nudgjbjn2rr,APPROVED,2021-01-16T16:22:04Z,2021-01-16T16:27:11Z,307.835,26,254,1,100,2021-01-17T01:29:55Z,684BBD13,United States,United States,Unemployed (and job seeking),White,DATA EXPIRED,United States,Female,Yes
yk4vuu6zmxnosv16mq3zuhwo,APPROVED,2021-01-16T16:23:18Z,2021-01-16T16:30:31Z,432.602,33,48,0,100,2021-01-17T01:29:57Z,684BBD13,United States,United States,DATA EXPIRED,White,DATA EXPIRED,United States,Male,No
